"overall","mean_ps","mean_gp","mean_adj_ps","suc_rate"
170,0.088,4.16,0.088,0
171,7.044,81.44,7.3576,0.12
172,2.324,51.48,2.3444,0.04
173,2.052,64.48,2.052,0.12
174,1.384,56.72,1.5328,0.12
175,2.5,48.04,2.6852,0.08
176,4.728,104.08,4.728,0.2
177,3.62,86.08,3.6892,0.2
178,3.42,62.76,3.9388,0.12
179,5.616,109.52,5.9376,0.16
180,1.952,80.12,1.954,0.12
181,1.052,26.2,1.3724,0.04
182,2.364,69,2.552,0.12
183,2.096,81.36,2.2388,0.12
184,0.476,16.04,0.476,0
185,0.024,1.76,0.024,0
186,2.308,83.36,2.3628,0.16
187,3.78,24.96,4.4528,0.04
188,1.808,29,2.3196,0.08
189,1.636,37.72,1.636,0.12
190,1.324,63.56,1.324,0.12
191,5.732,99,5.732,0.2
192,2.332,42.72,2.332,0.04
193,1.236,35.56,1.236,0.04
194,4.216,92.84,4.8592,0.2
195,1.14,42.88,1.14,0.08
196,0.316,14.8,0.3524,0.04
197,0,2.2,0,0
198,0.988,36,1.0684,0.04
199,3.54,45.84,4.104,0.08
200,0.88,19.48,0.9616,0.04
201,1.812,41.76,1.9216,0.04
202,0.852,35.76,0.856,0.08
203,0.104,6.8,0.1768,0
204,4.856,94.04,4.856,0.16
205,13.124,112.96,13.1344,0.16
206,3.784,36.08,4.3784,0.08
207,1.008,23.04,1.1296,0.08
208,4.008,75.8,4.4664,0.08
209,0.244,11.16,0.244,0
210,5.592,72.8,6.0784,0.08
211,0.373913043478261,18.2608695652174,0.373913043478261,0.0434782608695652
212,5.40666666666667,86.0666666666667,5.89866666666667,0.0666666666666667
213,0.893333333333333,9.86666666666667,0.893333333333333,0.0666666666666667
214,8.61428571428571,151.714285714286,9.59142857142857,0.214285714285714
215,3.72857142857143,56.9285714285714,3.72857142857143,0.142857142857143
216,8.31428571428571,133.857142857143,8.31428571428571,0.142857142857143
217,0.614285714285714,33.8571428571429,0.614285714285714,0.0714285714285714
218,0,3.2,0,0
219,0.32,37.7,0.32,0.1
220,3.24,127.3,3.24,0.2
221,4.68,94,4.68,0.1
222,0.61,61.3,0.61,0.1
223,0.86,110.7,0.86,0.1
224,4.4,109.7,4.4,0.2
